loan_type,loan_purpose,loan_amount_000s,action_taken,action_taken_name,applicant_sex,applicant_race_1,applicant_income_000s,debt_to_income_ratio,combined_loan_to_value,census_tract_minority_pct,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code,approved
VA-guaranteed,Cash-out refinancing,416.1,1,Loan originated,Male,White,128.3,42.1,67.1,45.6,1,1,0,0,0,2,3,1
Conventional,Cash-out refinancing,279.1,1,Loan originated,Male,White,85.4,41.5,51.8,51.2,1,1,0,0,0,0,3,1
Conventional,Refinancing,377.6,1,Loan originated,Female,White,86.0,25.8,84.8,24.7,0,1,0,0,0,0,1,1
FHA-insured,Home purchase,444.4,1,Loan originated,Male,White,125.3,36.0,69.0,37.6,1,1,0,0,0,1,0,1
FSA/RHS-guaranteed,Home purchase,384.3,1,Loan originated,Male,White,100.5,48.6,61.4,14.3,1,1,0,0,0,3,0,1
Conventional,Home improvement,102.7,3,Application denied,Female,Hispanic or Latino,33.5,52.1,83.1,62.4,0,0,0,1,0,0,2,0
Conventional,Refinancing,373.9,1,Loan originated,Female,White,126.9,35.5,105.0,56.9,0,1,0,0,0,0,1,1
FHA-insured,Home purchase,426.0,1,Loan originated,Female,White,128.4,41.7,69.2,62.5,0,1,0,0,0,1,0,1
Conventional,Home purchase,618.9,1,Loan originated,Female,White,144.9,34.7,98.2,35.4,0,1,0,0,0,0,0,1
Conventional,Home purchase,245.9,1,Loan originated,Male,White,96.9,14.5,79.7,55.2,1,1,0,0,0,0,0,1
FHA-insured,Home purchase,370.1,1,Loan originated,Male,White,106.1,42.4,53.8,42.8,1,1,0,0,0,1,0,1
Conventional,Refinancing,419.4,3,Application denied,Male,Black or African American,96.5,24.2,69.1,69.1,1,0,1,0,0,0,1,0
Conventional,Refinancing,258.9,1,Loan originated,Female,White,89.1,26.6,63.9,11.4,0,1,0,0,0,0,1,1
Conventional,Home purchase,124.9,1,Loan originated,Female,White,41.2,32.4,74.4,47.4,0,1,0,0,0,0,0,1
Conventional,Home purchase,163.9,1,Loan originated,Female,Black or African American,63.0,35.2,85.1,36.6,0,0,1,0,0,0,0,1
VA-guaranteed,Refinancing,133.1,3,Application denied,Male,Hispanic or Latino,30.5,43.2,66.7,55.0,1,0,0,1,0,2,1,0
Conventional,Home purchase,332.7,3,Application denied,Male,White,102.1,29.8,101.7,18.7,1,1,0,0,0,0,0,0
FHA-insured,Home purchase,181.8,1,Loan originated,Male,White,63.9,22.5,94.9,39.1,1,1,0,0,0,1,0,1
VA-guaranteed,Home improvement,350.4,1,Loan originated,Male,White,86.5,39.0,81.0,42.5,1,1,0,0,0,2,2,1
Conventional,Refinancing,312.9,1,Loan originated,Male,White,75.9,33.5,44.7,39.2,1,1,0,0,0,0,1,1
VA-guaranteed,Home purchase,50.8,3,Application denied,Male,Hispanic or Latino,15.0,48.0,46.6,93.6,1,0,0,1,0,2,0,0
VA-guaranteed,Home purchase,238.2,1,Loan originated,Female,White,78.9,36.8,59.0,16.3,0,1,0,0,0,2,0,1
Conventional,Home purchase,250.6,1,Loan originated,Male,White,74.0,27.1,65.3,16.3,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,110.9,3,Application denied,Male,Black or African American,39.1,42.7,54.8,80.8,1,0,1,0,0,1,1,0
Conventional,Cash-out refinancing,246.7,1,Loan originated,Female,White,82.8,33.7,66.3,9.2,0,1,0,0,0,0,3,1
Conventional,Home purchase,339.7,3,Application denied,Female,Hispanic or Latino,94.6,56.4,78.3,61.4,0,0,0,1,0,0,0,0
Conventional,Home purchase,230.3,1,Loan originated,Female,White,88.4,50.1,72.2,21.9,0,1,0,0,0,0,0,1
Conventional,Home improvement,306.7,3,Application denied,Female,Black or African American,69.7,56.4,105.0,62.7,0,0,1,0,0,0,2,0
FHA-insured,Home purchase,214.1,1,Loan originated,Female,Hispanic or Latino,64.8,25.1,92.4,74.4,0,0,0,1,0,1,0,1
Conventional,Refinancing,261.8,1,Loan originated,Male,White,82.1,28.4,73.9,12.7,1,1,0,0,0,0,1,1
Conventional,Refinancing,226.4,1,Loan originated,Female,White,60.1,38.4,91.1,14.5,0,1,0,0,0,0,1,1
Conventional,Home purchase,340.5,1,Loan originated,Male,White,110.1,31.4,57.2,22.0,1,1,0,0,0,0,0,1
Conventional,Home purchase,183.2,1,Loan originated,Male,Hispanic or Latino,49.0,38.9,105.0,59.4,1,0,0,1,0,0,0,1
Conventional,Home purchase,300.6,1,Loan originated,Male,White,99.4,38.7,58.6,28.9,1,1,0,0,0,0,0,1
Conventional,Home purchase,250.8,1,Loan originated,Male,White,89.7,33.5,53.8,9.6,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,311.0,3,Application denied,Male,White,96.9,57.0,85.1,18.7,1,1,0,0,0,1,1,0
Conventional,Home purchase,194.2,1,Loan originated,Male,White,49.5,22.3,64.9,16.8,1,1,0,0,0,0,0,1
Conventional,Home purchase,400.6,1,Loan originated,Male,White,134.2,35.8,105.0,31.3,1,1,0,0,0,0,0,1
VA-guaranteed,Home improvement,258.4,1,Loan originated,Male,White,82.5,35.9,99.7,22.6,1,1,0,0,0,2,2,1
Conventional,Home purchase,198.9,1,Loan originated,Female,White,78.3,21.3,64.8,10.9,0,1,0,0,0,0,0,1
Conventional,Home improvement,222.7,3,Application denied,Female,White,51.1,26.0,53.1,39.5,0,1,0,0,0,0,2,0
Conventional,Home purchase,276.4,1,Loan originated,Male,Black or African American,99.1,25.1,84.6,78.5,1,0,1,0,0,0,0,1
Conventional,Home purchase,418.0,1,Loan originated,Male,White,99.6,45.2,83.9,19.4,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,300.8,1,Loan originated,Male,White,96.4,37.0,81.2,36.1,1,1,0,0,0,1,1,1
Conventional,Cash-out refinancing,319.2,3,Application denied,Female,American Indian or Alaska Native,93.3,39.8,95.4,24.9,0,0,0,0,0,0,3,0
Conventional,Home purchase,149.9,1,Loan originated,Male,Black or African American,36.0,35.7,83.0,83.0,1,0,1,0,0,0,0,1
Conventional,Home purchase,412.6,1,Loan originated,Male,White,104.9,45.7,48.7,21.9,1,1,0,0,0,0,0,1
Conventional,Refinancing,276.1,1,Loan originated,Female,Black or African American,71.6,37.3,71.6,57.6,0,0,1,0,0,0,1,1
Conventional,Refinancing,201.3,1,Loan originated,Male,White,56.1,42.2,46.6,18.9,1,1,0,0,0,0,1,1
FHA-insured,Home purchase,195.0,1,Loan originated,Female,White,69.2,15.5,66.0,39.6,0,1,0,0,0,1,0,1
Conventional,Refinancing,103.8,3,Application denied,Male,White,39.1,41.0,32.1,37.5,1,1,0,0,0,0,1,0
Conventional,Home purchase,335.8,3,Application denied,Male,Black or African American,84.6,25.9,92.6,52.2,1,0,1,0,0,0,0,0
Conventional,Refinancing,513.8,1,Loan originated,Female,White,135.3,41.0,100.5,34.6,0,1,0,0,0,0,1,1
Conventional,Home purchase,372.6,1,Loan originated,Female,Black or African American,90.8,42.3,64.9,65.6,0,0,1,0,0,0,0,1
Conventional,Home purchase,334.7,1,Loan originated,Male,White,78.1,33.3,74.1,28.4,1,1,0,0,0,0,0,1
Conventional,Home purchase,172.6,1,Loan originated,Female,White,45.6,37.8,67.2,38.9,0,1,0,0,0,0,0,1
Conventional,Home purchase,113.1,1,Loan originated,Male,White,36.2,35.1,72.9,70.8,1,1,0,0,0,0,0,1
Conventional,Cash-out refinancing,272.5,1,Loan originated,Male,Hispanic or Latino,107.1,39.0,54.6,84.4,1,0,0,1,0,0,3,1
FHA-insured,Home purchase,242.0,1,Loan originated,Female,Black or African American,71.2,26.6,52.9,83.2,0,0,1,0,0,1,0,1
Conventional,Home purchase,320.7,1,Loan originated,Female,Black or African American,76.9,32.4,85.0,91.0,0,0,1,0,0,0,0,1
Conventional,Home purchase,358.3,1,Loan originated,Male,White,105.1,16.9,79.5,72.1,1,1,0,0,0,0,0,1
Conventional,Home improvement,276.1,1,Loan originated,Male,White,73.0,14.2,93.4,54.3,1,1,0,0,0,0,2,1
Conventional,Cash-out refinancing,220.5,1,Loan originated,Female,Hispanic or Latino,56.5,48.5,41.8,80.7,0,0,0,1,0,0,3,1
Conventional,Home purchase,453.1,3,Application denied,Male,Native Hawaiian or Other Pacific Islander,103.1,42.0,67.8,9.1,1,0,0,0,0,0,0,0
Conventional,Home improvement,279.1,1,Loan originated,Male,White,99.2,37.4,75.5,15.0,1,1,0,0,0,0,2,1
Conventional,Home purchase,299.5,1,Loan originated,Male,White,76.2,38.0,60.3,39.0,1,1,0,0,0,0,0,1
Conventional,Cash-out refinancing,50.0,3,Application denied,Female,Hispanic or Latino,15.0,23.5,91.8,65.4,0,0,0,1,0,0,3,0
Conventional,Refinancing,484.0,1,Loan originated,Male,White,113.7,34.9,55.8,19.2,1,1,0,0,0,0,1,1
Conventional,Home purchase,118.1,1,Loan originated,Female,Hispanic or Latino,29.9,35.5,62.5,92.1,0,0,0,1,0,0,0,1
Conventional,Home purchase,170.3,3,Application denied,Male,Black or African American,59.2,49.4,62.9,86.4,1,0,1,0,0,0,0,0
Conventional,Home purchase,471.4,1,Loan originated,Male,White,147.7,47.3,68.5,12.4,1,1,0,0,0,0,0,1
Conventional,Home purchase,136.3,3,Application denied,Male,White,51.3,29.5,72.6,28.8,1,1,0,0,0,0,0,0
Conventional,Refinancing,363.5,1,Loan originated,Male,Hispanic or Latino,101.0,33.9,48.9,67.5,1,0,0,1,0,0,1,1
Conventional,Cash-out refinancing,147.1,1,Loan originated,Male,White,36.0,25.6,90.3,27.8,1,1,0,0,0,0,3,1
Conventional,Home purchase,366.0,1,Loan originated,Male,White,116.2,46.2,80.6,38.5,1,1,0,0,0,0,0,1
Conventional,Refinancing,360.6,1,Loan originated,Male,White,108.6,48.7,71.3,43.9,1,1,0,0,0,0,1,1
VA-guaranteed,Home purchase,241.3,1,Loan originated,Male,Black or African American,70.5,44.5,91.8,85.2,1,0,1,0,0,2,0,1
Conventional,Refinancing,235.8,1,Loan originated,Male,White,71.2,30.9,83.0,18.9,1,1,0,0,0,0,1,1
Conventional,Home purchase,359.2,1,Loan originated,Male,White,139.6,32.0,99.7,13.7,1,1,0,0,0,0,0,1
Conventional,Home purchase,106.8,1,Loan originated,Male,White,40.6,39.5,84.1,25.1,1,1,0,0,0,0,0,1
Conventional,Refinancing,335.7,3,Application denied,Female,White,77.3,50.6,85.0,20.7,0,1,0,0,0,0,1,0
Conventional,Home purchase,322.1,3,Application denied,Female,White,99.7,46.4,105.0,47.4,0,1,0,0,0,0,0,0
Conventional,Home purchase,375.5,1,Loan originated,Male,White,122.1,29.0,70.1,27.3,1,1,0,0,0,0,0,1
Conventional,Home purchase,335.2,1,Loan originated,Male,White,94.4,39.6,105.0,26.6,1,1,0,0,0,0,0,1
Conventional,Cash-out refinancing,220.0,3,Application denied,Female,White,72.6,36.5,103.8,21.7,0,1,0,0,0,0,3,0
VA-guaranteed,Home purchase,81.8,1,Loan originated,Male,Hispanic or Latino,28.4,14.4,78.6,49.1,1,0,0,1,0,2,0,1
Conventional,Refinancing,376.4,3,Application denied,Female,Hispanic or Latino,113.4,30.0,103.6,87.6,0,0,0,1,0,0,1,0
Conventional,Home purchase,140.3,1,Loan originated,Male,Black or African American,46.8,41.5,50.3,65.7,1,0,1,0,0,0,0,1
Conventional,Cash-out refinancing,327.1,1,Loan originated,Female,White,93.7,32.7,98.4,28.6,0,1,0,0,0,0,3,1
VA-guaranteed,Refinancing,193.3,1,Loan originated,Female,White,73.9,32.8,72.6,26.5,0,1,0,0,0,2,1,1
FHA-insured,Home improvement,401.6,1,Loan originated,Male,White,106.0,48.7,93.0,3.0,1,1,0,0,0,1,2,1
Conventional,Home purchase,138.7,1,Loan originated,Female,Hispanic or Latino,34.7,28.1,74.9,44.3,0,0,0,1,0,0,0,1
Conventional,Home purchase,244.1,1,Loan originated,Male,White,66.6,39.1,66.6,11.7,1,1,0,0,0,0,0,1
FSA/RHS-guaranteed,Cash-out refinancing,199.3,1,Loan originated,Female,White,70.1,60.8,45.4,3.7,0,1,0,0,0,3,3,1
FHA-insured,Home purchase,108.7,1,Loan originated,Male,White,41.9,21.0,70.4,36.7,1,1,0,0,0,1,0,1
Conventional,Home purchase,226.8,3,Application denied,Male,White,72.6,29.6,105.0,26.2,1,1,0,0,0,0,0,0
Conventional,Refinancing,170.5,1,Loan originated,Male,White,68.0,30.8,53.0,22.7,1,1,0,0,0,0,1,1
Conventional,Home improvement,205.1,3,Application denied,Male,Black or African American,45.8,29.4,104.0,50.8,1,0,1,0,0,0,2,0
Conventional,Home purchase,305.9,1,Loan originated,Female,White,69.4,51.0,93.5,15.1,0,1,0,0,0,0,0,1
Conventional,Home purchase,397.8,1,Loan originated,Female,White,125.3,38.3,91.2,20.9,0,1,0,0,0,0,0,1
Conventional,Home purchase,409.8,1,Loan originated,Male,White,100.4,29.1,77.7,4.1,1,1,0,0,0,0,0,1
Conventional,Refinancing,233.0,1,Loan originated,Female,White,86.9,36.1,88.7,44.0,0,1,0,0,0,0,1,1
Conventional,Home purchase,316.7,1,Loan originated,Female,White,114.1,12.4,89.3,24.9,0,1,0,0,0,0,0,1
FHA-insured,Home purchase,213.2,1,Loan originated,Female,White,81.0,43.0,91.9,46.9,0,1,0,0,0,1,0,1
Conventional,Home purchase,177.0,1,Loan originated,Male,Hispanic or Latino,65.3,21.5,71.2,54.7,1,0,0,1,0,0,0,1
Conventional,Cash-out refinancing,602.7,1,Loan originated,Male,White,158.3,23.4,80.0,17.3,1,1,0,0,0,0,3,1
Conventional,Home improvement,120.7,1,Loan originated,Female,White,30.7,40.3,48.8,45.8,0,1,0,0,0,0,2,1
Conventional,Home improvement,426.2,1,Loan originated,Female,Hispanic or Latino,122.8,38.8,90.9,71.9,0,0,0,1,0,0,2,1
Conventional,Home purchase,157.7,1,Loan originated,Male,Black or African American,46.1,42.7,79.1,41.8,1,0,1,0,0,0,0,1
Conventional,Home purchase,360.1,1,Loan originated,Female,White,110.1,13.7,69.5,22.5,0,1,0,0,0,0,0,1
Conventional,Refinancing,158.7,1,Loan originated,Female,White,60.5,37.5,80.2,12.6,0,1,0,0,0,0,1,1
Conventional,Home purchase,233.4,3,Application denied,Male,Black or African American,72.3,50.1,83.1,49.6,1,0,1,0,0,0,0,0
FHA-insured,Home purchase,184.9,1,Loan originated,Female,Black or African American,50.9,39.4,58.3,60.4,0,0,1,0,0,1,0,1
FHA-insured,Refinancing,202.4,1,Loan originated,Male,White,70.7,36.4,64.6,41.2,1,1,0,0,0,1,1,1
Conventional,Home purchase,333.1,1,Loan originated,Male,White,97.4,11.6,72.4,10.4,1,1,0,0,0,0,0,1
Conventional,Refinancing,328.7,1,Loan originated,Female,Hispanic or Latino,97.6,46.9,104.6,82.9,0,0,0,1,0,0,1,1
Conventional,Home purchase,50.0,3,Application denied,Male,Native Hawaiian or Other Pacific Islander,15.0,32.2,48.4,58.5,1,0,0,0,0,0,0,0
Conventional,Refinancing,380.0,1,Loan originated,Female,White,136.8,26.3,48.2,14.7,0,1,0,0,0,0,1,1
Conventional,Cash-out refinancing,590.9,1,Loan originated,Female,White,132.7,59.9,66.2,53.5,0,1,0,0,0,0,3,1
Conventional,Refinancing,354.4,1,Loan originated,Female,White,91.4,25.4,59.4,61.6,0,1,0,0,0,0,1,1
VA-guaranteed,Home purchase,514.5,3,Application denied,Male,White,125.9,52.2,61.9,8.2,1,1,0,0,0,2,0,0
Conventional,Home purchase,277.7,3,Application denied,Male,White,93.6,52.4,82.8,57.4,1,1,0,0,0,0,0,0
Conventional,Home purchase,581.7,1,Loan originated,Male,Asian,139.1,45.8,56.8,33.9,1,0,0,0,0,0,0,1
Conventional,Home purchase,394.4,1,Loan originated,Male,White,93.8,30.9,83.1,11.0,1,1,0,0,0,0,0,1
Conventional,Home purchase,219.9,1,Loan originated,Male,White,61.2,29.8,61.9,48.3,1,1,0,0,0,0,0,1
Conventional,Home purchase,248.4,3,Application denied,Male,Black or African American,95.8,34.7,105.0,70.3,1,0,1,0,0,0,0,0
FHA-insured,Home purchase,348.1,1,Loan originated,Male,Black or African American,84.0,41.2,80.8,35.8,1,0,1,0,0,1,0,1
FHA-insured,Home purchase,194.3,1,Loan originated,Female,White,72.4,38.0,87.3,32.4,0,1,0,0,0,1,0,1
Conventional,Home improvement,204.3,1,Loan originated,Male,Black or African American,55.7,42.8,64.9,49.1,1,0,1,0,0,0,2,1
Conventional,Refinancing,220.1,3,Application denied,Female,Black or African American,61.2,50.4,57.7,48.7,0,0,1,0,0,0,1,0
VA-guaranteed,Home purchase,460.0,1,Loan originated,Female,Asian,113.0,35.5,31.3,10.0,0,0,0,0,0,2,0,1
Conventional,Home purchase,218.4,1,Loan originated,Male,Hispanic or Latino,73.1,42.3,101.9,90.4,1,0,0,1,0,0,0,1
Conventional,Home improvement,304.7,1,Loan originated,Male,White,85.8,34.5,79.4,25.2,1,1,0,0,0,0,2,1
FHA-insured,Home purchase,61.9,1,Loan originated,Male,Black or African American,15.0,49.7,61.0,80.9,1,0,1,0,0,1,0,1
Conventional,Home improvement,196.4,1,Loan originated,Male,White,74.3,41.3,59.2,11.1,1,1,0,0,0,0,2,1
Conventional,Cash-out refinancing,250.4,1,Loan originated,Female,White,65.2,45.6,76.7,28.8,0,1,0,0,0,0,3,1
Conventional,Home purchase,350.8,1,Loan originated,Male,White,83.6,27.0,101.8,19.6,1,1,0,0,0,0,0,1
VA-guaranteed,Refinancing,183.6,1,Loan originated,Male,Black or African American,71.2,48.0,98.8,48.5,1,0,1,0,0,2,1,1
Conventional,Home purchase,254.4,1,Loan originated,Female,Hispanic or Latino,85.3,43.5,68.6,80.5,0,0,0,1,0,0,0,1
Conventional,Home purchase,147.6,1,Loan originated,Female,Black or African American,40.5,42.0,78.6,53.2,0,0,1,0,0,0,0,1
FHA-insured,Home purchase,121.8,1,Loan originated,Female,Black or African American,43.3,37.2,54.9,69.6,0,0,1,0,0,1,0,1
Conventional,Home purchase,264.3,1,Loan originated,Female,White,67.7,23.7,92.9,41.1,0,1,0,0,0,0,0,1
Conventional,Home purchase,120.4,3,Application denied,Male,Black or African American,29.6,33.8,66.5,66.2,1,0,1,0,0,0,0,0
Conventional,Home purchase,339.1,1,Loan originated,Male,White,87.9,28.9,61.5,9.4,1,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,171.2,1,Loan originated,Male,White,45.8,30.4,85.9,33.2,1,1,0,0,0,2,0,1
Conventional,Home purchase,244.8,1,Loan originated,Male,White,95.1,26.7,83.7,51.0,1,1,0,0,0,0,0,1
FHA-insured,Home purchase,198.5,3,Application denied,Female,Black or African American,48.4,59.3,86.8,80.7,0,0,1,0,0,1,0,0
Conventional,Home purchase,355.6,1,Loan originated,Male,White,93.7,46.9,55.3,36.6,1,1,0,0,0,0,0,1
FHA-insured,Refinancing,418.7,1,Loan originated,Male,Hispanic or Latino,125.6,33.2,70.3,67.7,1,0,0,1,0,1,1,1
Conventional,Home purchase,224.7,1,Loan originated,Male,White,78.2,39.4,77.6,14.7,1,1,0,0,0,0,0,1
FSA/RHS-guaranteed,Home purchase,476.0,1,Loan originated,Male,Asian,139.3,28.5,82.4,4.2,1,0,0,0,0,3,0,1
Conventional,Home purchase,507.1,3,Application denied,Male,American Indian or Alaska Native,118.6,29.7,59.2,35.8,1,0,0,0,0,0,0,0
FHA-insured,Refinancing,143.8,1,Loan originated,Male,Hispanic or Latino,40.6,41.2,90.9,70.2,1,0,0,1,0,1,1,1
Conventional,Refinancing,358.7,1,Loan originated,Male,White,111.4,31.0,76.0,40.5,1,1,0,0,0,0,1,1
Conventional,Refinancing,361.4,3,Application denied,Female,White,82.5,51.3,46.7,50.2,0,1,0,0,0,0,1,0
Conventional,Home improvement,452.1,3,Application denied,Male,White,123.3,32.7,39.3,13.7,1,1,0,0,0,0,2,0
VA-guaranteed,Home improvement,177.8,1,Loan originated,Male,White,52.5,12.0,72.4,1.5,1,1,0,0,0,2,2,1
Conventional,Home purchase,236.0,1,Loan originated,Male,White,63.0,27.6,89.7,39.2,1,1,0,0,0,0,0,1
Conventional,Cash-out refinancing,277.4,1,Loan originated,Female,Black or African American,84.3,20.0,43.2,77.7,0,0,1,0,0,0,3,1
Conventional,Home improvement,130.6,3,Application denied,Male,Black or African American,50.0,20.3,59.9,81.3,1,0,1,0,0,0,2,0
Conventional,Home improvement,288.4,1,Loan originated,Male,White,89.2,10.9,81.1,30.0,1,1,0,0,0,0,2,1
Conventional,Cash-out refinancing,342.9,1,Loan originated,Male,White,103.3,44.2,103.4,40.7,1,1,0,0,0,0,3,1
FHA-insured,Refinancing,161.1,3,Application denied,Male,White,50.6,52.6,81.6,16.4,1,1,0,0,0,1,1,0
Conventional,Home purchase,312.3,3,Application denied,Male,White,87.4,19.0,64.1,27.1,1,1,0,0,0,0,0,0
Conventional,Home purchase,255.6,1,Loan originated,Female,White,78.1,40.8,95.7,22.8,0,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,434.2,1,Loan originated,Male,White,128.4,42.1,98.7,23.5,1,1,0,0,0,2,0,1
FHA-insured,Refinancing,307.0,1,Loan originated,Female,Asian,83.4,31.3,73.4,36.4,0,0,0,0,0,1,1,1
FHA-insured,Refinancing,137.3,1,Loan originated,Male,Hispanic or Latino,52.7,33.8,58.0,96.4,1,0,0,1,0,1,1,1
Conventional,Home purchase,305.2,1,Loan originated,Female,Hispanic or Latino,87.1,45.9,62.9,68.9,0,0,0,1,0,0,0,1
Conventional,Cash-out refinancing,50.0,3,Application denied,Male,Black or African American,15.0,57.0,67.0,85.4,1,0,1,0,0,0,3,0
Conventional,Home purchase,130.8,1,Loan originated,Female,White,41.4,13.8,65.1,16.5,0,1,0,0,0,0,0,1
Conventional,Home purchase,229.1,1,Loan originated,Male,American Indian or Alaska Native,66.5,38.7,81.4,12.7,1,0,0,0,0,0,0,1
Conventional,Refinancing,419.9,1,Loan originated,Female,White,113.2,20.8,80.1,28.7,0,1,0,0,0,0,1,1
Conventional,Home purchase,191.4,3,Application denied,Female,Black or African American,58.7,38.8,74.9,52.3,0,0,1,0,0,0,0,0
Conventional,Home purchase,164.9,3,Application denied,Female,White,45.9,15.8,88.8,3.6,0,1,0,0,0,0,0,0
Conventional,Refinancing,63.6,3,Application denied,Male,Hispanic or Latino,22.2,34.1,97.2,86.1,1,0,0,1,0,0,1,0
FHA-insured,Refinancing,407.1,1,Loan originated,Female,White,117.6,35.8,72.8,37.8,0,1,0,0,0,1,1,1
Conventional,Home purchase,348.1,1,Loan originated,Male,Hispanic or Latino,94.2,29.4,70.9,93.9,1,0,0,1,0,0,0,1
Conventional,Home improvement,292.4,1,Loan originated,Female,Hispanic or Latino,69.6,52.8,68.7,57.7,0,0,0,1,0,0,2,1
VA-guaranteed,Home improvement,225.2,3,Application denied,Male,White,57.8,33.4,85.9,13.2,1,1,0,0,0,2,2,0
VA-guaranteed,Refinancing,489.3,1,Loan originated,Male,White,115.0,55.6,61.9,2.7,1,1,0,0,0,2,1,1
FHA-insured,Home improvement,402.0,3,Application denied,Female,White,97.9,31.9,58.4,62.3,0,1,0,0,0,1,2,0
Conventional,Home improvement,92.3,3,Application denied,Female,Hispanic or Latino,21.4,33.8,89.7,57.2,0,0,0,1,0,0,2,0
Conventional,Refinancing,287.2,1,Loan originated,Male,White,114.3,28.8,58.7,25.7,1,1,0,0,0,0,1,1
FHA-insured,Home purchase,413.3,1,Loan originated,Female,White,101.8,40.8,66.9,25.1,0,1,0,0,0,1,0,1
Conventional,Refinancing,71.1,3,Application denied,Female,Hispanic or Latino,26.5,33.8,92.1,65.2,0,0,0,1,0,0,1,0
Conventional,Home purchase,99.4,3,Application denied,Male,Black or African American,39.7,34.5,104.7,58.0,1,0,1,0,0,0,0,0
Conventional,Home purchase,178.9,1,Loan originated,Male,Black or African American,58.7,22.4,92.2,42.3,1,0,1,0,0,0,0,1
Conventional,Home purchase,89.1,3,Application denied,Male,White,28.4,42.5,82.4,32.1,1,1,0,0,0,0,0,0
Conventional,Cash-out refinancing,144.9,1,Loan originated,Female,Black or African American,57.3,41.4,52.1,65.2,0,0,1,0,0,0,3,1
Conventional,Refinancing,266.0,1,Loan originated,Female,Black or African American,66.4,47.2,53.1,74.2,0,0,1,0,0,0,1,1
FHA-insured,Home purchase,287.2,1,Loan originated,Female,Asian,109.9,32.0,80.3,29.5,0,0,0,0,0,1,0,1
Conventional,Home purchase,490.2,3,Application denied,Female,White,149.3,39.9,82.8,20.2,0,1,0,0,0,0,0,0
Conventional,Home improvement,374.2,1,Loan originated,Female,White,92.5,25.3,55.0,42.8,0,1,0,0,0,0,2,1
Conventional,Home purchase,217.4,1,Loan originated,Male,White,82.9,32.4,94.7,41.7,1,1,0,0,0,0,0,1
Conventional,Home purchase,412.5,1,Loan originated,Female,White,148.6,24.4,54.1,31.3,0,1,0,0,0,0,0,1
Conventional,Home purchase,411.6,1,Loan originated,Female,White,95.7,33.5,51.9,14.1,0,1,0,0,0,0,0,1
Conventional,Home purchase,220.4,3,Application denied,Female,Black or African American,51.8,36.2,96.8,80.1,0,0,1,0,0,0,0,0
Conventional,Home purchase,320.1,3,Application denied,Male,White,92.8,40.7,61.9,30.3,1,1,0,0,0,0,0,0
Conventional,Home purchase,259.4,1,Loan originated,Male,White,100.7,44.8,102.0,41.7,1,1,0,0,0,0,0,1
Conventional,Home purchase,516.1,1,Loan originated,Female,White,165.9,49.7,103.9,31.9,0,1,0,0,0,0,0,1
Conventional,Home purchase,283.5,3,Application denied,Male,White,92.3,42.7,55.0,24.6,1,1,0,0,0,0,0,0
Conventional,Cash-out refinancing,52.9,3,Application denied,Female,Hispanic or Latino,19.1,50.3,61.4,94.5,0,0,0,1,0,0,3,0
FHA-insured,Home purchase,213.2,1,Loan originated,Male,White,76.9,25.9,84.2,34.4,1,1,0,0,0,1,0,1
Conventional,Home purchase,400.6,1,Loan originated,Male,Hispanic or Latino,110.8,32.4,35.2,71.3,1,0,0,1,0,0,0,1
Conventional,Home improvement,160.6,1,Loan originated,Male,White,38.4,48.7,76.6,26.9,1,1,0,0,0,0,2,1
Conventional,Refinancing,499.3,1,Loan originated,Male,White,117.2,14.9,65.3,42.5,1,1,0,0,0,0,1,1
Conventional,Refinancing,136.9,1,Loan originated,Female,White,47.1,36.0,92.5,19.7,0,1,0,0,0,0,1,1
FHA-insured,Home purchase,433.7,3,Application denied,Female,White,108.5,18.3,64.8,53.0,0,1,0,0,0,1,0,0
Conventional,Home purchase,219.8,3,Application denied,Male,White,87.5,28.7,40.7,53.4,1,1,0,0,0,0,0,0
Conventional,Refinancing,109.4,1,Loan originated,Female,Black or African American,28.4,27.5,31.1,75.6,0,0,1,0,0,0,1,1
Conventional,Home purchase,392.5,1,Loan originated,Female,White,98.6,52.6,56.3,36.1,0,1,0,0,0,0,0,1
FHA-insured,Home purchase,216.9,1,Loan originated,Female,Asian,84.1,37.4,53.9,23.4,0,0,0,0,0,1,0,1
Conventional,Home improvement,200.7,1,Loan originated,Male,White,77.0,32.1,104.1,13.3,1,1,0,0,0,0,2,1
Conventional,Refinancing,50.0,1,Loan originated,Female,Black or African American,15.3,28.6,84.7,87.9,0,0,1,0,0,0,1,1
Conventional,Home purchase,293.9,3,Application denied,Male,Black or African American,67.5,60.0,77.9,92.8,1,0,1,0,0,0,0,0
FHA-insured,Refinancing,321.2,3,Application denied,Male,Black or African American,123.6,38.7,105.0,96.5,1,0,1,0,0,1,1,0
Conventional,Refinancing,204.3,1,Loan originated,Male,White,54.6,31.5,59.3,25.0,1,1,0,0,0,0,1,1
Conventional,Home purchase,251.0,1,Loan originated,Female,White,60.9,27.5,105.0,55.2,0,1,0,0,0,0,0,1
Conventional,Home purchase,343.8,1,Loan originated,Male,White,98.3,44.4,83.7,53.6,1,1,0,0,0,0,0,1
