loan_type,loan_purpose,owner_occupancy,loan_amount_000s,action_taken,action_taken_name,property_type,lien_status,applicant_sex,applicant_race_1,applicant_income_000s,county_code,census_tract_minority_pct,debt_to_income_ratio,combined_loan_to_value,hoepa_status,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code
Conventional,Home improvement,Owner-occupied as a principal dwelling,133.6,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,53.2,1,32.9,30.4,78.9,Not applicable,1,1,0,0,0,0,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,343.5,1,Loan originated,Manufactured housing,First lien,Male,White,93.3,15,32.2,40.2,63.6,Not applicable,1,1,0,0,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,266.9,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,71.1,13,34.2,32.1,102.5,Not applicable,0,1,0,0,0,0,3
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,50.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,15.0,3,23.4,16.0,53.1,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,216.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,74.3,1,24.1,45.6,77.9,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,144.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,53.0,13,92.1,42.5,59.1,Not applicable,0,0,1,0,0,0,0
FSA/RHS-guaranteed,Home improvement,Owner-occupied as a principal dwelling,133.4,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,51.1,1,62.3,39.4,99.2,Not applicable,1,0,0,1,0,3,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,414.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,105.2,19,94.8,32.3,85.1,Not applicable,1,0,1,0,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,478.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,130.9,5,11.4,50.1,92.7,Not applicable,1,1,0,0,0,1,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,114.0,1,Loan originated,Manufactured housing,First lien,Female,Black or African American,40.4,7,80.7,39.3,39.7,Not applicable,0,0,1,0,0,0,2
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,215.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,48.7,11,36.7,47.6,105.0,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,292.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,91.4,9,71.8,56.9,24.0,Not applicable,1,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,327.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,90.2,7,22.2,31.9,53.5,Not applicable,1,1,0,0,0,0,0
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,211.8,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,48.0,1,86.4,44.5,78.5,Not applicable,1,0,0,1,0,1,1
Conventional,Cash-out refinancing,Not applicable,241.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,90.3,11,57.1,44.2,72.3,Not applicable,1,0,0,1,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,302.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,71.9,1,24.8,19.6,79.0,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,223.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,70.9,3,77.4,39.8,105.0,Not applicable,1,0,0,1,0,0,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,612.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,144.3,3,7.7,31.9,99.4,Not applicable,1,1,0,0,0,0,3
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,83.3,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,19.2,11,95.9,44.3,73.9,Not applicable,1,0,0,1,0,2,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,381.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,97.0,19,18.0,41.7,81.8,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,159.9,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,54.1,13,88.2,42.2,69.7,Not applicable,0,0,0,1,0,0,0
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,279.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,97.2,3,29.6,24.4,75.4,Not applicable,1,1,0,0,0,1,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,419.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,110.8,7,46.8,35.5,45.9,Not applicable,1,1,0,0,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,325.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,White,99.0,7,12.4,31.6,56.7,Not applicable,0,1,0,0,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,213.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,70.4,11,61.4,37.0,80.4,Not applicable,1,0,0,1,0,0,0
Conventional,Refinancing,Not owner-occupied,333.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,94.0,1,24.6,29.8,96.2,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,138.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,39.0,7,68.8,33.5,90.7,Not applicable,1,0,0,1,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,273.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,75.7,19,19.2,32.5,85.6,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,283.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,108.6,9,38.3,36.7,87.9,Not applicable,1,0,0,0,0,0,1
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,314.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,75.3,3,39.4,57.4,46.5,Not applicable,1,1,0,0,0,2,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,132.6,3,Application denied,One-to-four family dwelling (other than manufactured housing),Not secured,Male,Hispanic or Latino,45.8,5,74.2,41.5,105.0,Not applicable,1,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,415.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,102.7,9,36.4,36.7,63.7,Not a HOEPA loan,1,0,0,0,0,0,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,575.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,138.3,11,4.8,36.4,68.7,Not applicable,1,1,0,0,0,0,3
Conventional,Refinancing,Owner-occupied as a principal dwelling,240.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,73.3,15,51.8,46.9,48.5,Not applicable,0,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,265.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,65.5,11,30.7,38.3,76.3,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,270.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,82.9,3,16.9,42.2,82.2,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,481.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,126.9,17,33.3,20.3,40.1,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,450.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,125.5,15,24.3,44.6,105.0,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,231.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,77.7,7,45.9,25.1,102.6,Not applicable,1,1,0,0,0,0,1
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,547.2,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,147.5,19,34.0,32.4,77.3,Not applicable,1,1,0,0,0,2,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,387.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,100.7,9,47.7,34.9,87.7,Not a HOEPA loan,0,1,0,0,0,0,0
Conventional,Home purchase,Not applicable,255.9,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,86.0,3,27.4,40.2,82.8,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,283.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,110.5,11,6.8,23.6,78.5,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,294.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Male,White,86.5,3,16.9,38.5,67.7,Not applicable,1,1,0,0,0,0,1
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,235.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,66.7,17,37.7,44.2,65.6,Not a HOEPA loan,0,0,0,1,0,1,1
Conventional,Home improvement,Owner-occupied as a principal dwelling,85.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,21.1,3,86.4,49.6,94.0,Not a HOEPA loan,0,0,0,1,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,170.2,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,67.3,13,81.9,32.0,80.0,Not applicable,1,0,1,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,639.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,143.4,7,61.7,49.4,81.8,Not applicable,1,0,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,436.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,110.1,15,1.2,32.7,62.8,Not a HOEPA loan,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,236.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,79.2,9,80.9,34.1,65.0,Not applicable,0,0,1,0,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,466.9,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,114.7,13,51.7,45.9,95.9,Not applicable,1,0,1,0,0,0,3
FHA-insured,Home purchase,Not owner-occupied,101.7,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,40.0,9,78.4,42.6,85.5,Not applicable,0,0,1,0,0,1,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,165.6,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,62.1,19,42.8,37.2,58.8,Not applicable,0,1,0,0,0,0,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,424.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,102.1,7,27.6,23.5,71.4,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,478.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,111.7,3,27.5,41.7,44.4,Not applicable,0,1,0,0,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,166.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,45.4,3,14.1,41.5,77.4,Not applicable,0,1,0,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,145.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Hispanic or Latino,47.5,7,71.9,39.7,58.5,Not applicable,1,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,137.6,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,38.4,17,23.3,52.4,71.4,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,159.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,47.7,3,25.7,33.5,66.0,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,231.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,55.9,19,10.0,43.5,85.6,Not a HOEPA loan,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,334.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,78.1,17,28.4,33.3,74.1,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Not owner-occupied,119.3,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,36.0,5,60.7,38.2,88.5,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,52.6,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,15.0,15,18.7,39.0,69.7,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,537.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,149.8,9,33.5,35.2,88.1,Not applicable,1,0,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,298.7,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,105.0,11,21.9,11.5,51.5,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,293.9,3,Application denied,Manufactured housing,First lien,Male,Black or African American,67.5,17,92.8,60.0,77.9,Not applicable,1,0,1,0,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,454.7,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,115.3,5,67.9,55.0,51.4,Not applicable,1,1,0,0,0,0,2
Conventional,Home improvement,Owner-occupied as a principal dwelling,222.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,51.1,11,39.5,26.0,53.1,Not applicable,0,1,0,0,0,0,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,180.4,1,Loan originated,Manufactured housing,First lien,Female,Black or African American,41.0,7,61.1,52.6,94.0,Not applicable,0,0,1,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,154.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,47.5,15,70.2,60.0,79.7,Not applicable,1,0,1,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,197.8,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),Not secured,Male,White,59.5,5,35.0,27.6,105.0,Not applicable,1,1,0,0,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,369.6,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,110.8,9,34.1,65.0,94.5,Not applicable,0,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,61.3,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,15.0,11,77.5,32.5,49.8,Not applicable,1,0,0,1,0,0,0
FHA-insured,Home purchase,Not applicable,373.4,1,Loan originated,Manufactured housing,Junior lien,Male,White,107.2,3,31.9,18.1,74.7,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,87.2,3,Application denied,Manufactured housing,First lien,Male,Hispanic or Latino,22.6,1,72.6,49.3,63.8,Not applicable,1,0,0,1,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,277.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,Black or African American,97.1,15,85.5,61.6,72.9,Not applicable,0,0,1,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,172.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,45.1,1,80.7,39.0,84.4,Not applicable,1,0,0,1,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,442.9,4,Application withdrawn by applicant,Manufactured housing,First lien,Male,White,101.8,9,4.7,44.1,84.8,Not applicable,1,1,0,0,0,0,3
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,553.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,159.6,3,34.1,29.4,64.2,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,385.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,85.8,1,76.5,51.2,76.6,Not applicable,1,0,1,0,0,0,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,344.7,1,Loan originated,Multifamily dwelling,First lien,Male,White,77.0,13,49.4,33.5,77.0,Not applicable,1,1,0,0,0,2,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,196.0,2,Application approved but not accepted,Manufactured housing,First lien,Male,White,77.4,3,23.9,33.6,67.6,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Not owner-occupied,172.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,49.9,5,49.1,30.8,75.0,Not a HOEPA loan,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,291.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,104.5,11,4.9,48.4,63.0,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,487.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,144.9,5,49.8,40.5,82.3,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Not owner-occupied,203.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,American Indian or Alaska Native,57.4,5,37.6,44.5,90.6,Not applicable,1,0,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,366.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,118.5,5,59.3,24.3,73.6,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,314.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,White,85.4,17,14.5,38.7,100.9,Not applicable,0,1,0,0,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,240.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,72.8,1,83.8,28.7,87.1,Not applicable,1,0,1,0,0,0,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,177.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,Black or African American,57.2,7,54.7,43.9,79.9,Not applicable,0,0,1,0,0,0,1
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,446.2,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,120.6,19,85.3,41.5,38.4,Not applicable,1,1,0,0,0,2,0
VA-guaranteed,Home improvement,Owner-occupied as a principal dwelling,420.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,100.2,1,7.6,36.1,69.8,Not applicable,1,1,0,0,0,2,2
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,291.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,107.5,5,19.4,49.0,66.7,Not applicable,1,1,0,0,0,1,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,214.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,63.2,19,38.2,10.0,105.0,Not a HOEPA loan,1,0,0,0,0,0,3
FHA-insured,Home purchase,Not owner-occupied,130.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Female,White,38.2,5,52.9,24.1,74.8,Not applicable,0,1,0,0,0,1,0
VA-guaranteed,Home purchase,Not owner-occupied,141.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,52.7,3,89.9,31.6,97.7,Not applicable,0,0,1,0,0,2,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,144.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),Not applicable,Female,Black or African American,35.0,5,55.3,45.9,74.9,Not applicable,0,0,1,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,358.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,117.5,7,50.8,32.8,87.4,Not applicable,0,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,284.7,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,65.8,11,5.3,31.7,59.8,Not applicable,0,1,0,0,0,0,0
FSA/RHS-guaranteed,Home purchase,Owner-occupied as a principal dwelling,178.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,52.4,3,14.0,30.9,86.7,Not applicable,0,1,0,0,0,3,0
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,361.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,87.6,3,42.7,34.0,89.9,Not applicable,0,1,0,0,0,1,2
Conventional,Home purchase,Not owner-occupied,453.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,130.3,5,19.7,24.6,70.2,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,111.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,44.5,9,80.2,40.8,85.8,Not applicable,0,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,408.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,96.0,1,29.4,25.5,59.1,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Not owner-occupied,335.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,86.2,11,20.4,29.2,76.7,Not applicable,0,1,0,0,0,0,1
Conventional,Home improvement,Owner-occupied as a principal dwelling,370.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,112.6,11,22.0,35.8,90.3,Not applicable,1,1,0,0,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,189.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Hispanic or Latino,60.0,9,86.7,45.1,78.9,Not a HOEPA loan,1,0,0,1,0,0,0
Conventional,Home purchase,Not owner-occupied,176.8,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,48.4,1,1.8,17.3,60.9,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,54.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,15.0,15,93.4,36.0,75.7,Not applicable,0,0,0,1,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,396.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,126.1,19,33.9,43.7,74.2,Not applicable,1,1,0,0,0,1,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,381.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Black or African American,92.6,9,71.3,46.7,92.5,Not a HOEPA loan,1,0,1,0,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,463.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,115.1,9,2.3,43.7,74.6,Not applicable,0,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,54.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,15.0,1,58.8,44.1,76.9,Not applicable,1,0,0,1,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,388.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,99.0,15,37.8,34.9,90.7,Not applicable,1,1,0,0,0,0,0
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,329.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,98.2,3,24.9,33.9,85.5,Not applicable,1,1,0,0,0,1,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,525.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,133.0,3,38.4,46.2,89.0,Not applicable,1,1,0,0,0,1,0
Conventional,Refinancing,Not owner-occupied,92.0,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),Not secured,Female,Hispanic or Latino,22.4,3,55.9,42.1,103.7,Not applicable,0,0,0,1,0,0,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,328.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,84.1,7,41.3,26.7,94.3,Not a HOEPA loan,0,1,0,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,351.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,79.4,3,30.9,43.7,59.8,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,295.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,95.6,15,19.6,42.7,96.2,Not a HOEPA loan,1,1,0,0,0,0,0
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,259.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,61.1,19,94.4,38.1,79.0,Not applicable,0,0,1,0,0,1,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,197.7,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),Not secured,Male,Black or African American,45.7,9,87.6,29.1,93.3,Not applicable,1,0,1,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,296.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,74.6,19,19.9,33.7,60.8,Not applicable,0,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,378.6,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,89.8,11,10.9,10.0,74.7,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,161.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,42.2,7,33.2,35.2,59.8,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,123.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,American Indian or Alaska Native,48.9,9,20.0,33.3,102.6,Not applicable,1,0,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,599.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,162.4,9,16.9,42.6,78.8,Not applicable,1,1,0,0,0,0,1
